"You added %1 to your shopping cart.","You added %1 to your shopping cart."
"Please select product(s).","Please select product(s)."
"We can't add this item to your shopping cart right now.","We can't add this item to your shopping cart right now."
"Page not found.","Page not found."
"We can't specify a product.","We can't specify a product."
"We can't add the item to Wish List right now: %1.","We can't add the item to Wish List right now: %1."
"We can't add the item to Wish List right now.","We can't add the item to Wish List right now."
"Related Product","Related Product"
"Frequently Bought Together Product","Frequently Bought Together Product"
"Product %1 doesn't have frequently bought products","Product %1 doesn't have frequently bought products"
"The linked products data is invalid. Verify the data and try again.","The linked products data is invalid. Verify the data and try again."
"Product with SKU '%1' is not linked to product with SKU '%2'","Product with SKU '%1' is not linked to product with SKU '%2'"
"Product %1 doesn't have linked %2","Product %1 doesn't have linked %2"
"Related Products, Up-Sells, Cross-Sells and Frequently Bought Together","Related Products, Up-Sells, Cross-Sells and Frequently Bought Together"
"Frequently Bought Together products are shown to customers in addition to the item the customer is looking at.","Frequently Bought Together products are shown to customers in addition to the item the customer is looking at."
"Add Frequently Bought Together Products","Add Frequently Bought Together Products"
"Frequently Bought Together Products","Frequently Bought Together Products"
"Total price:","Total price:"
"Add selected to cart","Add selected to cart"
"Add selected to wishlist","Add selected to wishlist"
"This item:","This item:"
"Out of stock","Out of stock"
Thumbnail,Thumbnail
Name,Name
Price,Price
Options,Options
"Total Selected Items:","Total Selected Items:"
"Continue shopping","Continue shopping"
"Add All To Cart","Add All To Cart"
Change,Change
Delete,Delete
"Compatible file extensions to upload","Compatible file extensions to upload"
"Maximum image width","Maximum image width"
px.,px.
"Maximum image height","Maximum image height"
"Maximum number of characters:","Maximum number of characters:"
None,None
Quantity,Quantity
"Choose a selection...","Choose a selection..."
"No options of this product are available.","No options of this product are available."
sample,sample
"Select all","Select all"
"Unselect all","Unselect all"
"Grouped product items","Grouped product items"
"Product Name","Product Name"
Qty,Qty
Availability,Availability
"Show details","Show details"
"Hide details","Hide details"
"Add %s to Cart","Add %s to Cart"
"Add %s to Wishlist","Add %s to Wishlist"
zero,zero
one,one
two,two
three,three
four,four
five,five
six,six
seven,seven
eight,eight
nine,nine
ten,ten
eleven,eleven
twelve,twelve
" all"," all"
"Frequently Bought Together","Frequently Bought Together"
"General Configuration","General Configuration"
"Enable Frequently Bought Together","Enable Frequently Bought Together"
"Select Yes to enable this module.","Select Yes to enable this module."
"Method of Choosing Product","Method of Choosing Product"
"Block Name","Block Name"
"Enter the block’s name. E.g: Frequently bought together","Enter the block’s name. E.g: Frequently bought together"
"Number of products","Number of products"
"Enter the maximum number of products displayed in the block (Leave empty or 0 to display all suggested products).","Enter the maximum number of products displayed in the block (Leave empty or 0 to display all suggested products)."
"Enable Add to Wishlist Button","Enable Add to Wishlist Button"
"Select Yes to enable the Add to Wishlist button.","Select Yes to enable the Add to Wishlist button."
"Remove Native Related Products Block","Remove Native Related Products Block"
"Select Yes to remove default related block.","Select Yes to remove default related block."
"Separator Image","Separator Image"
"Allowed file types: jpg, gif, png. Leave empty to use default separator.","Allowed file types: jpg, gif, png. Leave empty to use default separator."
"Use Popup to Select Product Options","Use Popup to Select Product Options"
ID,ID
"Attribute Set","Attribute Set"
AttributeSetText,AttributeSetText
Status,Status
StatusText,StatusText
Type,Type
SKU,SKU
