Cookies,Cookies
"Cookie Groups","Cookie Groups"
"Cookie Consents","Cookie Consents"
Settings,Settings
GDPR,GDPR
"The cookie has been deleted.","The cookie has been deleted."
"This cookie no longer exists.","This cookie no longer exists."
"New Cookie","New Cookie"
"Cookie was saved.","Cookie was saved."
"Cookie' Consensts","Cookie' Consensts"
"The cookie group has been deleted.","The cookie group has been deleted."
"This cookie group no longer exists.","This cookie group no longer exists."
"New Cookie Group","New Cookie Group"
"Cookie Group","Cookie Group"
"Cookie Group was saved.","Cookie Group was saved."
"Add Cookie","Add Cookie"
Back,Back
"Delete Cookie","Delete Cookie"
"Are you sure you want to do this?","Are you sure you want to do this?"
"Save and Continue Edit","Save and Continue Edit"
"Save Cookie","Save Cookie"
Edit,Edit
Delete,Delete
"Add Cookie Group","Add Cookie Group"
"Delete Cookie Group","Delete Cookie Group"
"Save Cookie Group","Save Cookie Group"
Agree,Agree
"Cookie list:","Cookie list:"
Save,Save
Enabled,Enabled
"Lock Screen","Lock Screen"
Text,Text
Title,Title
ID,ID
Customer,Customer
"Store View","Store View"
"Remote Address","Remote Address"
Group,Group
"Created At","Created At"
"Cookie Add Form","Cookie Add Form"
Lifetime,Lifetime
"Store Views","Store Views"
"Cookie Group Add Form","Cookie Group Add Form"
Priority,Priority
Name,Name
Description,Description
"Is Active","Is Active"
"Is Required","Is Required"
Code,Code
