"Synchrony Promotions","Synchrony Promotions"
"Add New Rule","Add New Rule"
Delete,Delete
"Are you sure you want to delete this Synchrony Promotion?","Are you sure you want to delete this Synchrony Promotion?"
Reset,Reset
"Save and Continue Edit","Save and Continue Edit"
Save,Save
Actions,Actions
"Apply the rule only to cart items matching the following conditions (leave blank for all items).","Apply the rule only to cart items matching the following conditions (leave blank for all items)."
"Apply To","Apply To"
Conditions,Conditions
"Apply the rule only if the following conditions are met (leave blank for all products).","Apply the rule only if the following conditions are met (leave blank for all products)."
ID,ID
Type,Type
"Attribute Set","Attribute Set"
SKU,SKU
Product,Product
--,--
"Synchrony Promotion Rules","Synchrony Promotion Rules"
"You deleted the promotion.","You deleted the promotion."
"We can't promotion the rule right now. Please review the log and try again.","We can't promotion the rule right now. Please review the log and try again."
"We can't find the promotion to delete.","We can't find the promotion to delete."
"This rule no longer exists.","This rule no longer exists."
"Edit Synchrony Promotion","Edit Synchrony Promotion"
"New Synchrony Promotion","New Synchrony Promotion"
"Edit Synchrony Prmotion","Edit Synchrony Prmotion"
"New SYnchrony Promotion","New SYnchrony Promotion"
"Synchrony Promotion: ","Synchrony Promotion: "
Promotions,Promotions
"The wrong promotion is specified.","The wrong promotion is specified."
"You saved the promotion.","You saved the promotion."
"Something went wrong while saving the promotion data. Please review the error log.","Something went wrong while saving the promotion data. Please review the error log."
"Something went wrong, please try again later","Something went wrong, please try again later"
"Authentication session expired, please try again","Authentication session expired, please try again"
"Address mismatch, please make sure address matches data on your bank account","Address mismatch, please make sure address matches data on your bank account"
"Transaction has been declined. Please try again later.","Transaction has been declined. Please try again later."
"Installment Capture failed: %1","Installment Capture failed: %1"
"Unable to refund promo code %1 as it's not yet paid","Unable to refund promo code %1 as it's not yet paid"
"Unable to calculate promo code refund amount","Unable to calculate promo code refund amount"
"Refund amount exceeds the limit for affected promo codes. Available amount to refund: %1","Refund amount exceeds the limit for affected promo codes. Available amount to refund: %1"
". Refund stuck in interim state. Failed to execure/process ALL refund API calls. Following refund transactions came through: %1. However information about them has not been saved as part of the order. Further manual processing may be required.",". Refund stuck in interim state. Failed to execure/process ALL refund API calls. Following refund transactions came through: %1. However information about them has not been saved as part of the order. Further manual processing may be required."
". Payment stuck in interim state. Manual refund may be required for the following force purchase transactions: %1. Please contact bank.",". Payment stuck in interim state. Manual refund may be required for the following force purchase transactions: %1. Please contact bank."
"Force Purchase failed: %1","Force Purchase failed: %1"
"Synchrony payment cannot be used for zero subtotal carts","Synchrony payment cannot be used for zero subtotal carts"
"Promotions applied exceeded limit of %1","Promotions applied exceeded limit of %1"
"Unfortunately your cart contains too many different financing promotions. You can try removing some items from the cart or contact us for assistance.","Unfortunately your cart contains too many different financing promotions. You can try removing some items from the cart or contact us for assistance."
"Executed Synchrony Adjust (Refund) for promo code %1, amount: %2. Transaction ID: ""%3""","Executed Synchrony Adjust (Refund) for promo code %1, amount: %2. Transaction ID: ""%3"""
"Executed Synchrony Force Purchase for promo code %1, amount: %2. Transaction ID: ""%3""","Executed Synchrony Force Purchase for promo code %1, amount: %2. Transaction ID: ""%3"""
"Executed Synchrony Capture for promo code %1, amount: %2. Transaction ID: ""%3""","Executed Synchrony Capture for promo code %1, amount: %2. Transaction ID: ""%3"""
"%1 and %2 items are not eligible for %3 financing","%1 and %2 items are not eligible for %3 financing"
"%1 item is not eligible for %2 financing.","%1 item is not eligible for %2 financing."
"The currency selected is not supported by Synchrony Digital.","The currency selected is not supported by Synchrony Digital."
"between %1 and %2","between %1 and %2"
"until %1","until %1"
"NOTE: Because multiple Synchrony promotions have been applied to this order, partial invoicing is not available.","NOTE: Because multiple Synchrony promotions have been applied to this order, partial invoicing is not available."
"Please update your cart to use this payment option.","Please update your cart to use this payment option."
Shipping,Shipping
Billing,Billing
"%1 address must match address associated with your bank account.","%1 address must match address associated with your bank account."
"Only one Synchrony Digital Buy payment method may be enabled at this time.","Only one Synchrony Digital Buy payment method may be enabled at this time."
"Returned by Synchrony","Returned by Synchrony"
"Product attribute combination","Product attribute combination"
"Products subselection","Products subselection"
"Conditions combination","Conditions combination"
"Cart Attribute","Cart Attribute"
Subtotal,Subtotal
"Grand Total","Grand Total"
"Total Items Quantity","Total Items Quantity"
"Total Weight","Total Weight"
"Shipping Method","Shipping Method"
"Shipping Postcode","Shipping Postcode"
"Shipping Region","Shipping Region"
"Shipping State/Province","Shipping State/Province"
"Shipping Country","Shipping Country"
"Quantity in order","Quantity in order"
"Price in order","Price in order"
"Row total in order","Row total in order"
"Conditions Combination","Conditions Combination"
"Order Item Attribute","Order Item Attribute"
"Product Attribute","Product Attribute"
FOUND,FOUND
"NOT FOUND","NOT FOUND"
"If an item is %1 in the cart with %2 of these conditions true:","If an item is %1 in the cart with %2 of these conditions true:"
"total quantity","total quantity"
"total amount","total amount"
is,is
"is not","is not"
"equals or greater than","equals or greater than"
"equals or less than","equals or less than"
"greater than","greater than"
"less than","less than"
"is one of","is one of"
"is not one of","is not one of"
"If %1 %2 %3 for a subselection of items in cart matching %4 of these conditions:","If %1 %2 %3 for a subselection of items in cart matching %4 of these conditions:"
Active,Active
Inactive,Inactive
"Please select a static block.","Please select a static block."
"Product Details Page (PDP)","Product Details Page (PDP)"
Checkout,Checkout
"PDP and Checkout","PDP and Checkout"
"Equal Pay No Interest","Equal Pay No Interest"
"Deferred Interest","Deferred Interest"
"Reduced APR / Fixed Payment","Reduced APR / Fixed Payment"
"Value prop message","Value prop message"
"Monthly payment message","Monthly payment message"
"Authorize Only","Authorize Only"
"Authorize and Capture","Authorize and Capture"
